緯度,経度,局数,局一覧
34.391111,132.25,2,廿日市市/玖島 | 廿日市市/楢原(国)
34.553611,132.655556,2,広島市安佐北区/白木(三日市) | 広島市安佐北区/白木
34.405833,133.058889,2,竹原市/西野 | 三原市/西野
