市区町,CSV局名,システム局名,CSV緯度,CSV経度,SYS緯度,SYS経度,Δ緯度,Δ経度,距離差(m),マッチ方法,判定
安芸高田市,吉田町,吉田町,34.668056,132.711667,34.6680555555556,132.711666666667,-0.0,-0.0,0.1,完全一致(市+局名),正常
安芸高田市,高宮(国),高宮(国),34.781667,132.744444,34.7816666666667,132.744444444444,-0.0,0.0,0.1,完全一致(市+局名),正常
安芸高田市,向原坂,向原坂,34.609444,132.737778,34.6094444444444,132.737777777778,0.0,-0.0,0.1,完全一致(市+局名),正常
東広島市,志和東,志和東,34.488056,132.676944,34.4880555555556,132.676944444444,-0.0,0.0,0.1,完全一致(市+局名),正常
東広島市,吉川,吉川,34.396944,132.676667,34.3969444444444,132.676666666667,0.0,-0.0,0.1,完全一致(市+局名),正常
東広島市,下三永,下三永,34.396944,132.768889,34.3969444444444,132.768888888889,0.0,-0.0,0.1,完全一致(市+局名),正常
東広島市,黒瀬町,黒瀬町,34.324444,132.676667,34.3244444444444,132.676666666667,0.0,-0.0,0.1,完全一致(市+局名),正常
東広島市,乃美,乃美,34.568056,132.827778,34.5680555555556,132.827777777778,-0.0,-0.0,0.1,完全一致(市+局名),正常
東広島市,吉原,吉原,34.603056,132.853056,34.6030555555556,132.853055555556,-0.0,-0.0,0.1,完全一致(市+局名),正常
東広島市,河内支所,河内支所,34.472194,132.888355,34.47219441,132.88835465,0.0,-0.0,0.1,完全一致(市+局名),正常
東広島市,河内,河内,34.471944,132.891944,34.4719444444444,132.891944444444,0.0,0.0,0.1,完全一致(市+局名),正常
竹原市,新庄,新庄,34.384167,132.890556,34.3841666666667,132.890555555556,-0.0,-0.0,0.1,完全一致(市+局名),正常
竹原市,小梨,小梨,34.370556,132.914167,34.3705555555556,132.914166666667,-0.0,-0.0,0.1,完全一致(市+局名),正常
竹原市,小梨(北谷平),小梨(北谷平),34.370556,132.919444,34.3705555555556,132.919444444444,-0.0,0.0,0.1,完全一致(市+局名),正常
大崎上島町,大崎町,大崎町,34.241944,132.889444,34.2419444444444,132.889444444444,0.0,0.0,0.1,完全一致(市+局名),正常
三次市,大津(国),大津(国),34.888056,132.678056,34.8880555555556,132.678055555556,-0.0,-0.0,0.1,完全一致(市+局名),正常
三次市,森山,森山,34.925556,132.698889,34.9255555555556,132.698888888889,-0.0,-0.0,0.1,完全一致(市+局名),正常
三次市,作木支所,作木支所,34.865257,132.71887,34.86525665,132.71886964,-0.0,-0.0,0.1,完全一致(市+局名),正常
三次市,上作木,上作木,34.894167,132.756944,34.8941666666667,132.756944444444,-0.0,0.0,0.1,完全一致(市+局名),正常
三次市,三次石原,三次石原,34.725556,132.899722,34.7255555555556,132.899722222222,-0.0,0.0,0.1,完全一致(市+局名),正常
三次市,田幸,田幸,34.753056,132.915556,34.7530555555556,132.915555555556,-0.0,-0.0,0.1,完全一致(市+局名),正常
三次市,吉舎(国),吉舎(国),34.721944,132.991667,34.7219444444444,132.991666666667,0.0,-0.0,0.1,完全一致(市+局名),正常
庄原市,竹地谷,竹地谷,34.940556,132.878611,34.9405555555556,132.878611111111,-0.0,0.0,0.1,完全一致(市+局名),正常
庄原市,永田,永田,34.894167,132.926944,34.8941666666667,132.926944444444,-0.0,0.0,0.1,完全一致(市+局名),正常
