観測所番号,観測所名,ふりがな,水系名,河川名,河川名(表示用),市町村名,住所,緯度,経度,所管事務所名,データ所管,零点高[T.P.m],水防団待機[m],はん濫注意[m],避難判断[m],はん濫危険[m]
9,湯来(国),ゆき,太田川,水内川,,広島市佐伯区,広島市佐伯区湯来町麦谷,34.52444444444444,132.31555555555556,西部建設事務所,国土交通省,147.63,,2.30,2.80,3.05
58,白川,しらこう,八幡川,八幡川,,広島市佐伯区,広島市佐伯区五日市町大字下河内向原1169-3,34.42944444444444,132.30833333333334,西部建設事務所,河川課ダムG,227.31,,,,
4,小深川,こふかがわ,八幡川,八幡川,,広島市佐伯区,広島市佐伯区五日市町下小深川,34.40416666666667,132.355,西部建設事務所,河川課ダムG,24.20,,,,
3,中地,なかじ,八幡川,八幡川,,広島市佐伯区,広島市佐伯区八幡東,34.38194444444444,132.36166666666665,西部建設事務所,河川課ダムG,2.53,1.70,2.50,3.15,3.50
79,石内,いしうち,八幡川,石内川,,広島市佐伯区,広島市佐伯区五日市町大字石内字平田３７１２番３,34.41222222222222,132.37722222222223,西部建設事務所,河川課,16.13,,2.20,2.95,3.89
114,高井,たかい,八幡川,石内川,,広島市佐伯区,広島市佐伯区八幡東４丁目３２?５?６地先,34.3925,132.36527777777778,西部建設事務所,河川課ダムG,5.26,,,,
113,上中,かみなか,八幡川,梶毛川,,広島市佐伯区,広島市佐伯区五日市町大字石内３４７０?１地先,34.415,132.3827777777778,西部建設事務所,河川課ダムG,25.85,,,,
153,岡ノ下,おかのした,単独河川,岡ノ下川,,広島市佐伯区,広島市佐伯区五日市中央１地先,34.36666666666667,132.34972222222223,西部建設事務所,河川課,0.00,,,,
119,中州橋,なかすばし,単独河川,岡ノ下川,,広島市佐伯区,広島市佐伯区五日市中央４丁目７?３４ 地先,34.37388888888889,132.35222222222222,西部建設事務所,河川課,1.21,,1.45,1.65,2.10
75,大須,おおす,太田川,府中大川,,府中町,安芸郡府中町大須３丁目,34.39694444444444,132.50194444444443,西部建設事務所,河川課,1.12,,1.40,1.90,2.30
2,石原,いしはら,瀬野川,瀬野川,,海田町,安芸郡海田町石原地先,34.375277777777775,132.54583333333332,西部建設事務所,河川課,1.77,1.10,1.90,2.20,2.90
81,呉地,くれじ,二河川,二河川,,熊野町,安芸郡熊野町字三戸山５３０番,34.32472222222223,132.585,西部建設事務所,河川課,212.54,,1.65,1.75,2.15
11,釜ヶ原,かまがはら,小瀬川,小瀬川,,山口県,山口県岩国市美和町釜ヶ原,34.285555555555554,132.13916666666665,廿日市支所,河川課ダムG,130.90,,,,
40,小川津(国),おがわづ,小瀬川,小瀬川,,山口県,山口県岩国市小瀬字小川津,34.228611111111114,132.17749999999998,廿日市支所,国土交通省,12.00,2.60,4.00,5.70,6.20
41,両国橋(国),りょうごくばし,小瀬川,小瀬川,,山口県,山口県岩国市小瀬墨屋堂,34.209722222222226,132.19472222222223,廿日市支所,国土交通省,2.97,2.80,3.90,4.40,4.90
42,和木(国),わき,小瀬川,小瀬川,,山口県,山口県玖珂郡和木町和木,34.20805555555556,132.24194444444444,廿日市支所,国土交通省,0.00,,,,
45,下ヶ原(国),しもがはら,小瀬川,小瀬川,,大竹市,大竹市大栗林下ヶ原,34.275,132.13444444444443,廿日市支所,国ダム,123.00,,,,
51,防鹿(国),ぼうろく,小瀬川,小瀬川,,大竹市,大竹市小方町防鹿,34.22638888888889,132.19944444444445,廿日市支所,国ダム,7.55,,,,
57,本郷,ほんごう,小瀬川,小瀬川,,廿日市市,廿日市市浅原字前中山１１１５番地の３,34.33638888888889,132.14,廿日市支所,河川課ダムG,218.22,,,,
56,岩倉,いわくら,小瀬川,小瀬川,,廿日市市,廿日市市大字津田地内,34.37388888888889,132.1536111111111,廿日市支所,河川課ダムG,291.30,,,,
82,水ノ越,みのこし,単独河川,永慶寺川,,廿日市市,廿日市市大野字小田ノ口４１１５?１地先,34.29611111111111,132.27583333333334,廿日市支所,河川課,3.10,,1.25,1.25,1.45
9,宮内,みやうち,御手洗川,御手洗川,,廿日市市,廿日市市宮内字西畑口３６４８?９地先,34.34055555555556,132.29472222222222,廿日市支所,河川課,38.10,,1.95,1.95,2.20
83,平良,へら,単独河川,可愛川,,廿日市市,廿日市市平良２丁目２０７番１,34.35472222222222,132.32861111111112,廿日市支所,河川課,5.63,,0.85,1.05,1.27
6,二河,にこう,二河川,二河川,,呉市,呉市二河町１番,34.25555555555555,132.56055555555557,呉支所,河川課,3.49,1.50,2.00,2.15,2.50
5,町田,まちだ,黒瀬川,黒瀬川,,呉市,呉市広弁天橋町８,34.246944444444445,132.6277777777778,呉支所,河川課,1.46,1.50,2.00,2.75,3.45
80,惣引谷,そうびきたに,黒瀬川,長谷川,,呉市,呉市郷原町字惣引谷３２５２番１,34.30277777777778,132.63083333333333,呉支所,河川課,151.63,,,,
60,市原,いちはら,野呂川,野呂川,,呉市,呉市安浦町大字中畑字打田原甲1470,34.29416666666666,132.7,呉支所,河川課ダムG,140.49,,,,
22,藤浪,ふじなみ,野呂川,野呂川,,呉市,呉市安浦町内海浦尻北,34.28333333333333,132.73416666666665,呉支所,河川課ダムG,9.75,,0.80,1.05,1.30
20,新庄,しんじょう,賀茂川,賀茂川,,竹原市,竹原市新庄町町田１９８１?２,34.384166666666665,132.89055555555555,東広島支所,河川課,20.67,1.20,1.50,1.60,1.95
92,竹原,たけはら,賀茂川,賀茂川,,竹原市,竹原市竹原町吉崎,34.33527777777778,132.90055555555557,東広島支所,河川課,-0.57,,,,
93,下野,しもの,単独河川,本川,,竹原市,竹原市下野町字大応,34.353611111111114,132.90444444444444,東広島支所,河川課,3.56,,,,
16,樋ノ詰,ひのつめ,黒瀬川,黒瀬川,,東広島市,東広島市西条町馬木樋ノ詰橋下,34.35638888888889,132.7213888888889,東広島支所,河川課,168.45,1.20,2.35,2.70,3.00
15,松ヶ瀬,まつがせ,黒瀬川,黒瀬川,,東広島市,東広島市黒瀬町菅田松ヶ瀬橋下,34.323055555555555,132.67333333333332,東広島支所,河川課,152.98,0.65,2.10,2.10,2.65
18,下見,したみ,黒瀬川,黒瀬川,,東広島市,東広島市西条町西条東番蔵川合流点下,34.422777777777775,132.73833333333332,東広島支所,河川課,208.15,1.15,2.25,2.30,2.65
17,御薗宇,みそのう,黒瀬川,黒瀬川,,東広島市,東広島市西条町御園宇一水橋上,34.397777777777776,132.7386111111111,東広島支所,河川課,203.68,1.70,2.50,2.75,3.20
